node1,node2,label,cn,sc,aa,ra,pa,tn
192262,278021,1,0.0,0.0,0.0,0.0,5.0,6.0
104884,292865,1,0.0,0.0,0.0,0.0,175.0,176.0
57442,259091,1,0.0,0.0,0.0,0.0,12.0,7.0
26624,259091,1,0.0,0.0,0.0,0.0,15.0,8.0
24145,259091,1,0.0,0.0,0.0,0.0,78.0,29.0
204332,8912,1,0.0,0.0,0.0,0.0,36.0,15.0
265263,8912,1,0.0,0.0,0.0,0.0,24.0,14.0
308704,8912,1,0.0,0.0,0.0,0.0,96.0,20.0
184968,8912,1,0.0,0.0,0.0,0.0,48.0,16.0
15035,8912,1,0.0,0.0,0.0,0.0,468.0,51.0
14541,8912,1,0.0,0.0,0.0,0.0,12.0,13.0
308469,8912,1,0.0,0.0,0.0,0.0,24.0,14.0
88220,8912,1,0.0,0.0,0.0,0.0,12.0,13.0
48584,8912,1,0.0,0.0,0.0,0.0,108.0,21.0
154204,8912,1,0.0,0.0,0.0,0.0,264.0,34.0
25434,8912,1,0.0,0.0,0.0,0.0,96.0,20.0
173385,8912,1,0.0,0.0,0.0,0.0,12.0,13.0
24487,162981,1,8.0,0.0,2.1767022755452516,0.2643431997762492,7756.0,297.0
94199,162981,1,0.0,0.0,0.0,0.0,28.0,29.0
25936,162981,1,2.0,0.0,0.49138432951547384,0.03754184600669536,2016.0,98.0
359,162981,1,4.0,0.0,0.8751119988718282,0.04925341151572923,8008.0,310.0
36364,162981,1,1.0,0.0,0.23868315209103041,0.015151515151515152,644.0,50.0
202208,162981,1,2.0,0.0,0.49138432951547384,0.03754184600669536,1764.0,89.0
308768,162981,1,0.0,0.0,0.0,0.0,504.0,46.0
16701,162981,1,0.0,0.0,0.0,0.0,280.0,38.0
34371,162981,1,2.0,0.0,0.5071392717244843,0.048404369243949454,1848.0,92.0
316768,162981,1,0.0,0.0,0.0,0.0,1092.0,67.0
21782,162981,1,4.0,0.0,0.9111493979341484,0.06215940214666059,3276.0,141.0
198431,162981,1,0.0,0.0,0.0,0.0,980.0,63.0
62801,162981,1,0.0,0.0,0.0,0.0,588.0,49.0
37796,162981,1,1.0,0.0,0.20780583746414044,0.008130081300813009,308.0,38.0
314999,162981,1,0.0,0.0,0.0,0.0,196.0,35.0
24768,162981,1,0.0,0.0,0.0,0.0,280.0,38.0
48689,162981,1,1.0,0.0,0.17780883485868182,0.0036101083032490976,196.0,34.0
323610,162981,1,1.0,0.0,0.18821028282068325,0.0049261083743842365,1120.0,67.0
366438,162981,1,3.0,0.0,0.6991901669796143,0.045671927307508374,1484.0,78.0
308238,162981,1,2.0,0.0,0.5097681827728472,0.04015151515151515,5684.0,229.0
9277,162981,1,9.0,0.0,2.3621702508359808,0.2401598608074966,3444.0,142.0
25569,162981,1,0.0,0.0,0.0,0.0,1848.0,94.0
295659,162981,1,4.0,0.0,0.8763774432297553,0.05128361543460194,3444.0,147.0
315719,162981,1,0.0,0.0,0.0,0.0,1428.0,79.0
29233,162981,1,4.0,0.0,0.8034086399333407,0.028417279451883663,1092.0,63.0
52308,162981,1,7.0,0.0,1.4994672381313874,0.0724135309377808,952.0,55.0
9846,162981,1,2.0,0.0,0.38561467232282226,0.011740189604062106,728.0,52.0
322585,162981,1,3.0,0.0,0.5624183229375581,0.015236693100565604,8848.0,341.0
222498,4008,1,0.0,0.0,0.0,0.0,540.0,57.0
345441,4008,1,0.0,0.0,0.0,0.0,12.0,13.0
265886,4008,1,0.0,0.0,0.0,0.0,12.0,13.0
308331,4008,1,0.0,0.0,0.0,0.0,1248.0,116.0
455,4008,1,0.0,0.0,0.0,0.0,516.0,55.0
149804,4008,1,0.0,0.0,0.0,0.0,12.0,13.0
192760,4008,1,0.0,0.0,0.0,0.0,84.0,19.0
59078,4008,1,0.0,0.0,0.0,0.0,876.0,85.0
47761,4008,1,0.0,0.0,0.0,0.0,180.0,27.0
282193,4008,1,0.0,0.0,0.0,0.0,12.0,13.0
259207,4008,1,0.0,0.0,0.0,0.0,24.0,14.0
96170,4008,1,0.0,0.0,0.0,0.0,36.0,15.0
308427,4202,1,0.0,0.0,0.0,0.0,1116.0,133.0
455,4202,1,1.0,0.0,0.18098063833245323,0.00398406374501992,387.0,51.0
5048,4202,1,0.0,0.0,0.0,0.0,540.0,69.0
106651,4202,1,0.0,0.0,0.0,0.0,9.0,10.0
2968,4202,1,1.0,0.0,0.3789231816899512,0.07142857142857142,108.0,20.0
308511,4202,1,1.0,0.0,0.2769378934088574,0.02702702702702703,369.0,49.0
82481,4202,1,2.0,0.0,0.583410242714298,0.08731739707835325,126.0,21.0
1937,4202,1,2.0,0.0,0.6447957673648033,0.0946843853820598,2259.0,258.0
35725,4202,1,1.0,0.0,0.269282508064391,0.024390243902439025,333.0,45.0
15755,5153,1,0.0,0.0,0.0,0.0,680.0,54.0
173950,5153,1,1.0,0.0,0.5581106265512472,0.16666666666666666,4380.0,238.0
192,5153,1,2.0,0.0,0.3868600513464391,0.014556623931623932,11380.0,587.0
49765,5153,1,0.0,0.0,0.0,0.0,3220.0,181.0
3057,5153,1,0.0,0.0,0.0,0.0,280.0,34.0
49669,5153,1,0.0,0.0,0.0,0.0,120.0,26.0
2981,5153,1,1.0,0.0,0.15732899022206243,0.001736111111111111,1960.0,117.0
71482,5153,1,0.0,0.0,0.0,0.0,300.0,35.0
308788,5153,1,0.0,0.0,0.0,0.0,1160.0,78.0
2143,5153,1,3.0,0.0,0.9338469086356165,0.17862821754360794,11520.0,593.0
64756,5153,1,0.0,0.0,0.0,0.0,380.0,39.0
202985,5153,1,0.0,0.0,0.0,0.0,20.0,21.0
37799,5153,1,0.0,0.0,0.0,0.0,20.0,21.0
4718,5153,1,0.0,0.0,0.0,0.0,460.0,43.0
237994,5153,1,1.0,0.0,0.15763222689705664,0.0017574692442882249,1560.0,97.0
371958,5153,1,0.0,0.0,0.0,0.0,20.0,21.0
21689,5153,1,0.0,0.0,0.0,0.0,780.0,59.0
70416,5153,1,0.0,0.0,0.0,0.0,940.0,67.0
261831,5153,1,2.0,0.0,0.34288970459653045,0.006302321156773211,120.0,24.0
145220,5153,1,0.0,0.0,0.0,0.0,100.0,25.0
25169,18761,1,0.0,0.0,0.0,0.0,672.0,92.0
75451,18761,1,0.0,0.0,0.0,0.0,48.0,14.0
2151,18761,1,0.0,0.0,0.0,0.0,136.0,25.0
3857,18761,1,0.0,0.0,0.0,0.0,488.0,69.0
25876,18761,1,0.0,0.0,0.0,0.0,168.0,29.0
280079,18761,1,0.0,0.0,0.0,0.0,608.0,84.0
77680,18761,1,0.0,0.0,0.0,0.0,64.0,16.0
7794,18761,1,0.0,0.0,0.0,0.0,48.0,14.0
9040,267890,1,0.0,0.0,0.0,0.0,476.0,75.0
14313,267890,1,0.0,0.0,0.0,0.0,14.0,9.0
7718,267890,1,0.0,0.0,0.0,0.0,1302.0,193.0
21964,267890,1,0.0,0.0,0.0,0.0,21.0,10.0
293661,267890,1,0.0,0.0,0.0,0.0,119.0,24.0
5384,267890,1,0.0,0.0,0.0,0.0,84.0,19.0
752,267890,1,0.0,0.0,0.0,0.0,70.0,17.0
7907,7717,1,1.0,0.0,0.15811879210971763,0.0017921146953405018,816.0,109.0
4852,7717,1,1.0,0.0,0.15811879210971763,0.0017921146953405018,112.0,21.0
115713,7717,1,1.0,0.0,0.15811879210971763,0.0017921146953405018,416.0,59.0
8497,7717,1,2.0,0.0,0.37433627929747115,0.011596036263967952,136.0,23.0
60194,7717,1,1.0,0.0,0.35295612386476116,0.058823529411764705,816.0,109.0
